,location_id,lat,lng,competitor_count_1500m,nearest_competitor_m,poi_count_1500m,nearest_poi_m,poi_restaurant_count_1500m,nearest_poi_restaurant_m,poi_bank_count_1500m,nearest_poi_bank_m,poi_school_count_1500m,nearest_poi_school_m,poi_bus_stop_count_1500m,nearest_poi_bus_stop_m,poi_park_count_1500m,nearest_poi_park_m,poi_pharmacy_count_1500m,nearest_poi_pharmacy_m,poi_hospital_count_1500m,nearest_poi_hospital_m,poi_mall_count_1500m,nearest_poi_mall_m,building_count_1500m,residential_ratio_1500m,population_1500m,signals_1500m,unique_users_1500m
41,861e2e41fffffff,50.240385852032645,19.53451163412578,0,3909.9312836158388,0,3502.964211150299,0,7231.013146595301,0,11419.999939067293,0,3502.964211150299,0,4047.403812141971,0,10361.30874730805,0,7780.611683227733,0,13685.226239463604,0,13951.122084927963,317,0.5520504731861199,485,303.0,15.0
42,861e0584fffffff,50.02345875011182,19.35777209160571,0,9259.619059276316,0,4802.809786127702,0,15477.399878570446,0,6402.988215190325,0,6234.743234229916,0,8810.817924387049,0,4802.809786127702,0,9282.445737046803,0,13367.099849050881,0,10518.772546690067,539,0.5769944341372912,1110,1532.0,72.0
43,861e233b7ffffff,50.42563941601737,18.576984552798375,0,10181.452059317227,0,5896.245489462256,0,5896.245489462256,0,16589.454799968516,0,14250.233568719063,0,9500.75296521693,0,14334.200005055733,0,15384.934397571635,0,16011.023963147723,0,17092.91448613827,155,0.2645161290322581,348,1030.0,33.0
44,861e2e4c7ffffff,50.16943073951552,19.63796630124603,0,8462.945198833304,0,4699.748336155258,0,7264.11905314086,0,16909.058174421254,0,10788.339174059045,0,4699.748336155258,0,6541.159850956755,0,14326.70060918856,0,15269.056131002062,0,16330.15719664255,599,0.6327212020033389,1174,699.0,32.0
45,861e23747ffffff,50.281992061964644,18.542061229115046,0,9278.341754205658,0,7780.136102017607,0,8552.89273158596,0,10433.906822727025,0,7780.136102017607,0,7955.762405423657,0,10027.71281661744,0,8689.919019418203,0,8384.832613567158,0,10431.410951719046,135,0.35555555555555557,240,1986.0,78.0
46,861e05b57ffffff,50.008104016973334,19.687591301710277,0,8714.117296663495,0,3464.288042903908,0,12107.408124420303,0,17995.4451934961,0,3464.288042903908,0,9175.731015401609,0,12818.830354644071,0,15130.595505703795,0,10899.154686256017,0,10443.252975138226,306,0.6013071895424836,462,381.0,15.0
47,861e2325fffffff,50.36224599375637,19.1697897375578,0,4223.113745763784,0,1850.9397013615978,0,4994.514032190149,0,6539.8568743525,0,4495.562595638754,0,1850.9397013615978,0,8396.984423851829,0,4020.1393506727877,0,5572.900788750936,0,6312.841900525744,1189,0.5811606391925989,1792,938.0,47.0
48,861e2e6a7ffffff,50.099538566128786,19.984828924406667,1,1445.9743949101419,3,1221.96183870427,0,3234.907812936212,0,2492.7624048456223,0,1819.9436875053502,0,1722.5156783426376,0,3325.969880729153,2,1221.96183870427,0,3408.1647827617,1,1362.993405158057,1684,0.6900237529691211,36481,113893.0,1299.0
49,861e2e577ffffff,50.4374264740203,19.554769498758066,0,2912.813510221257,0,1877.4522275877655,0,1877.4522275877655,0,10662.166077655944,0,7518.013014021415,0,11267.396793952415,0,8585.673600719554,0,23662.99818040162,0,33057.679840034565,0,33836.48927134216,174,0.5574712643678161,204,448.0,17.0
50,861e059a7ffffff,50.08827872286981,18.76774983256536,0,4980.085578628155,0,4990.125711250638,0,11736.00974527867,0,8356.009426749322,0,7731.026911626998,0,4990.125711250638,0,7987.761634176214,0,6500.697507781439,0,16447.424701934124,0,6175.350072666269,748,0.6122994652406417,1572,4038.0,117.0
51,861e2e447ffffff,50.29572733681567,19.76202169047359,0,8174.52440717115,0,5906.967915207043,0,5906.967915207043,0,15132.01540982843,0,8606.900365420493,0,10801.444651329255,0,9614.196298037168,0,11846.044907466046,0,25777.550340651225,0,27954.894110114135,496,0.45161290322580644,822,1804.0,44.0
52,861e05877ffffff,50.05764415425854,19.184429068593577,0,2720.0232168872376,0,2658.8703519461105,0,3193.8443052902235,0,9859.536665183112,0,16465.32541341806,0,2658.8703519461105,0,10026.761269888671,0,2817.4485368603323,0,15026.182813396515,0,2998.696168014161,1305,0.6130268199233716,2501,5476.0,225.0
53,861e2338fffffff,50.39259787215414,18.751344246944623,0,2783.7359724327066,0,2527.4161060602123,0,7465.813465721638,0,4103.0426952868775,0,7612.229370363907,0,2527.4161060602123,0,4384.160204447555,0,7236.914342417319,0,6544.3231249421615,0,10257.09220867728,807,0.5278810408921933,1501,2976.0,87.0
